"","base","term","count","tf","tcount","p_a_given_b","p_a","d_lift","p_b","p_a_and_b","p_a_or_b"
"1","주민","경찰",98,1147,234,41.8803418803419,7.77683854606932,5.38526570048309,9.89010989010989,4.14201183431953,13.5249366018597
"2","주민","한전",62,450,234,26.4957264957265,6.55114116652578,4.04444444444445,9.89010989010989,2.62045646661031,13.8207945900254
"3","주민","사람",25,137,234,10.6837606837607,9.29839391377853,1.1489898989899,9.89010989010989,1.05663567202029,18.1318681318681
"4","주민","분향소",21,95,234,8.97435897435897,1.22569737954353,7.32183908045977,9.89010989010989,0.887573964497042,10.2282333051564
"5","주민","마을",20,81,234,8.54700854700855,2.11327134404057,4.04444444444444,9.89010989010989,0.84530853761623,11.1580726965342
"6","주민","공사",19,79,234,8.11965811965812,1.52155536770921,5.33641975308642,9.89010989010989,0.803043110735418,10.6086221470837
"7","주민","정부",17,68,234,7.26495726495727,4.09974640743872,1.77205040091638,9.89010989010989,0.718512256973796,13.2713440405748
"8","주민","조사",16,79,234,6.83760683760684,0.84530853761623,8.08888888888889,9.89010989010989,0.676246830092984,10.0591715976331
"9","주민","헬기 소음",14,63,234,5.98290598290598,0.633981403212172,9.43703703703704,9.89010989010989,0.591715976331361,9.9323753169907
"10","주민","갈등",13,57,234,5.55555555555556,1.43702451394759,3.86601307189542,9.89010989010989,0.549450549450549,10.7776838546069
"11","주민","밀양 주민",12,58,234,5.12820512820513,0.803043110735418,6.3859649122807,9.89010989010989,0.507185122569738,10.1859678782756
"12","주민","충돌",12,49,234,5.12820512820513,1.01437024513948,5.05555555555556,9.89010989010989,0.507185122569738,10.3972950126796
"13","주민","설치",12,46,234,5.12820512820513,1.90194420963652,2.6962962962963,9.89010989010989,0.507185122569738,11.2848689771767
"14","사람","주민",25,154,220,11.3636363636364,9.89010989010989,1.1489898989899,9.29839391377853,1.05663567202029,18.1318681318681
